Category,Species,Variety,Size,Container,Price
Drzewa i krzewy liściaste,Hydrangea quercifolia (Hortensja dębolistna),,20-50,2,30
Drzewa i krzewy liściaste,Laburnum x watereri (Złotokap Waterera),Vossii,100-120,3,60
Drzewa i krzewy liściaste,Laburnum x watereri (Złotokap Waterera),Vossii,Pa 120,"7,5",120
Drzewa i krzewy liściaste,Lavandula angustifolia (Lawenda wąskolistna),"Hidcote, Munstead",20-30,2,18
Drzewa i krzewy liściaste,Lavandula angustifolia (Lawenda wąskolistna),Hidcote,20-30,4,25
Drzewa i krzewy liściaste,Liquidambar styraciflua (Ambrowiec amerykański),,150-170,10,120
Drzewa i krzewy liściaste,Liriodendron tulipifera (Tulipanowiec amerykański),,200-220,10,100
Drzewa i krzewy liściaste,Liriodendron tulipifera (Tulipanowiec amerykański),"Magnolia Susan, Henry Kern, soulangeana",80-120,"7,5",80
Drzewa i krzewy liściaste,Magnolia stellata (M. gwiaździsta),Rosea,80-120,"7,5",80
Drzewa i krzewy liściaste,Magnolia stellata (M. gwiaździsta),"Magnolia Athene, Black Tulip (R), Cleopatra (R), Emperor (R), Red Lucky, Satisfaction, Sunrise, Yellow Bird",100-160,10,170-190
Drzewa i krzewy liściaste,Malus (Jabłoń ozdobna),Royalty,80-100,5,50
Drzewa i krzewy liściaste,Malus (Jabłoń ozdobna),Pachysandra,terminalis (Runianka japońska) 10-20,1,12
Drzewa i krzewy liściaste,Perovskia (Perowskia),"Blue Spire, Jelena, Little Spire",30-40,2,20
Drzewa i krzewy liściaste,Philadelphus coronarius (Jaśminowiec wonny),Virginal,30-50,2,15
Drzewa i krzewy liściaste,Physocarpus opulifolius (Pęcherznica kalinolistna),"czerwonolistna, żółtolistna",40-80,"2,5",15
Drzewa i krzewy liściaste,Platanus acerifolium (Platan klonolistny),,180-250,5,45
Drzewa i krzewy liściaste,Platanus acerifolium (Platan klonolistny),Alphen's Globe,Pa 180,10,160
Drzewa i krzewy liściaste,Potentilla fruticosa (Pięciornik krzewiasty),,20-30,3,15
Drzewa i krzewy liściaste,Prunus cerasifera (Śliwa wiśniowa),Nigra,100,3,40
Drzewa i krzewy liściaste,Prunus cerasifera (Śliwa wiśniowa),Nigra,Pa 120,10,130
Drzewa i krzewy liściaste,Prunus cerasifera (Śliwa wiśniowa),Nigra,Pa 180,15,240
Drzewa i krzewy liściaste,Prunus eminens (Wiśnia osobliwa),Umbraculifera,Pa 200,10,200
Drzewa i krzewy liściaste,Prunus laurocerasus (Laurowiśnia wschodnia),Novita,30-40,"1,5",20
Drzewa i krzewy liściaste,Prunus serrulata (Wiśnia piłkowana),Amanogawa,80-100,5,50
Drzewa i krzewy liściaste,Prunus serrulata (Wiśnia piłkowana),Kanzan,Pa 120,5,120
Drzewa i krzewy liściaste,Prunus serrulata (Wiśnia piłkowana),Kiku shidare,Pa 200,10,200
Drzewa i krzewy liściaste,Prunus serrulata (Wiśnia piłkowana),Royal Burgundy,Pa 120,5,120
Drzewa i krzewy liściaste,Prunus serrulata (Wiśnia piłkowana),Royal Burgundy,Pa 150,10,150
Drzewa i krzewy liściaste,Prunus triloba (Migdałek trójklapowy),,Pa 30,5,40
Drzewa i krzewy liściaste,Prunus triloba (Migdałek trójklapowy),,Pa 120 (8-10),15,160
Drzewa i krzewy liściaste,Pyracantha coccinea (Ognik szkarłatny),"Orange Glow, Red Column, Soleil d'Or",100,3,20
Drzewa i krzewy liściaste,Quercus palustris (Dąb błotny),Green Dwarf,Pa 40,10,120
